Pattern_Name,LUTindexTemperature_20,LUTindexTemperature_25,LUTindexTemperature_26,LUTindexTemperature_28,LUTindexTemperature_30,LUTindexTemperature_32,LUTindexTemperature_35,LUTindexTemperature_40
LUTindex113,1.099982e+02,1.114991e+02,1.117993e+02,1.123996e+02,113,1.136004e+02,1.145009e+02,1.160018e+02
LUTindex114,1.109786e+02,1.124893e+02,1.127914e+02,1.133957e+02,114,1.146043e+02,1.155107e+02,1.170214e+02
LUTindex115,1.119591e+02,1.134796e+02,1.137837e+02,1.143918e+02,115,1.156082e+02,1.165204e+02,1.180409e+02
LUTindex116,1.129400e+02,1.144700e+02,1.147760e+02,1.153880e+02,116,1.166120e+02,1.175300e+02,1.190600e+02
LUTindex117,1.139214e+02,1.154607e+02,1.157686e+02,1.163843e+02,117,1.176157e+02,1.185393e+02,1.200786e+02
LUTindex118,1.149035e+02,1.164517e+02,1.167614e+02,1.173807e+02,118,1.186193e+02,1.195483e+02,1.210965e+02
LUTindex119,1.158864e+02,1.174432e+02,1.177546e+02,1.183773e+02,119,1.196227e+02,1.205568e+02,1.221136e+02
LUTindex120,1.168704e+02,1.184352e+02,1.187482e+02,1.193741e+02,120,1.206259e+02,1.215648e+02,1.231296e+02
LUTindex121,1.178555e+02,1.194278e+02,1.197422e+02,1.203711e+02,121,1.216289e+02,1.225722e+02,1.241445e+02
LUTindex122,1.188417e+02,1.204208e+02,1.207367e+02,1.213683e+02,122,1.226317e+02,1.235792e+02,1.251583e+02
LUTindex123,1.198287e+02,1.214144e+02,1.217315e+02,1.223658e+02,123,1.236342e+02,1.245856e+02,1.261712e+02
LUTindex124,1.208166e+02,1.224083e+02,1.227267e+02,1.233633e+02,124,1.246367e+02,1.255917e+02,1.271833e+02
LUTindex125,1.218052e+02,1.234026e+02,1.237221e+02,1.243610e+02,125,1.256390e+02,1.265974e+02,1.281948e+02
LUTindex126,1.227944e+02,1.243972e+02,1.247178e+02,1.253589e+02,126,1.266411e+02,1.276028e+02,1.292056e+02
LUTindex127,1.237842e+02,1.253921e+02,1.257137e+02,1.263568e+02,127,1.276432e+02,1.286079e+02,1.302158e+02
LUTindex128,1.247743e+02,1.263871e+02,1.267097e+02,1.273549e+02,128,1.286451e+02,1.296129e+02,1.312257e+02
