Pattern_Name,LUTindexTemperature_20,LUTindexTemperature_25,LUTindexTemperature_26,LUTindexTemperature_28,LUTindexTemperature_30,LUTindexTemperature_32,LUTindexTemperature_35,LUTindexTemperature_40
LUTindex63,6.123568e+01,6.211785e+01,6.229428e+01,6.264714e+01,63,6.335286e+01,6.388214e+01,6.476428e+01
LUTindex64,6.220956e+01,6.310478e+01,6.328382e+01,6.364191e+01,64,6.435809e+01,6.489522e+01,6.579043e+01
LUTindex65,6.318360e+01,6.409180e+01,6.427344e+01,6.463672e+01,65,6.536328e+01,6.590820e+01,6.681641e+01
LUTindex66,6.415682e+01,6.507840e+01,6.526272e+01,6.563136e+01,66,6.636864e+01,6.692161e+01,6.784322e+01
LUTindex67,6.512820e+01,6.606410e+01,6.625128e+01,6.662564e+01,67,6.737436e+01,6.793591e+01,6.887184e+01
LUTindex68,6.609675e+01,6.704838e+01,6.723870e+01,6.761935e+01,68,6.838065e+01,6.895163e+01,6.990325e+01
LUTindex69,6.706185e+01,6.803093e+01,6.822474e+01,6.861237e+01,69,6.938763e+01,6.996906e+01,7.093812e+01
LUTindex70,6.802402e+01,6.901201e+01,6.920961e+01,6.960481e+01,70,7.039519e+01,7.098798e+01,7.197595e+01
LUTindex71,6.898392e+01,6.999196e+01,7.019357e+01,7.059678e+01,71,7.140322e+01,7.200804e+01,7.301609e+01
LUTindex72,6.994219e+01,7.097109e+01,7.117687e+01,7.158843e+01,72,7.241157e+01,7.302893e+01,7.405787e+01
LUTindex73,7.089949e+01,7.194973e+01,7.215978e+01,7.257989e+01,73,7.342012e+01,7.405030e+01,7.510064e+01
LUTindex74,7.185647e+01,7.292821e+01,7.314256e+01,7.357128e+01,74,7.442873e+01,7.507184e+01,7.614372e+01
LUTindex75,7.281378e+01,7.390686e+01,7.412548e+01,7.456274e+01,75,7.543727e+01,7.609320e+01,7.718647e+01
LUTindex76,7.377207e+01,7.488600e+01,7.510879e+01,7.555439e+01,76,7.644562e+01,7.711407e+01,7.822820e+01
LUTindex77,7.473201e+01,7.586597e+01,7.609277e+01,7.654638e+01,77,7.745363e+01,7.813410e+01,7.926828e+01
LUTindex78,7.569423e+01,7.684708e+01,7.707766e+01,7.753883e+01,78,7.846118e+01,7.915298e+01,8.030602e+01
LUTindex79,7.665939e+01,7.782967e+01,7.806374e+01,7.853186e+01,79,7.946814e+01,8.017037e+01,8.134077e+01
LUTindex80,7.762815e+01,7.881407e+01,7.905126e+01,7.952563e+01,80,8.047437e+01,8.118593e+01,8.237187e+01
LUTindex81,7.860119e+01,7.980061e+01,8.004049e+01,8.052025e+01,81,8.147975e+01,8.219935e+01,8.339867e+01
LUTindex82,7.957824e+01,8.078915e+01,8.103132e+01,8.151566e+01,82,8.248433e+01,8.321080e+01,8.442156e+01
LUTindex83,8.055830e+01,8.177918e+01,8.202335e+01,8.251168e+01,83,8.348831e+01,8.422076e+01,8.544148e+01
LUTindex84,8.154041e+01,8.277023e+01,8.301619e+01,8.350810e+01,84,8.449189e+01,8.522972e+01,8.645939e+01
LUTindex85,8.252359e+01,8.376181e+01,8.400945e+01,8.450473e+01,85,8.549526e+01,8.623815e+01,8.747627e+01
LUTindex86,8.350686e+01,8.475344e+01,8.500275e+01,8.550138e+01,86,8.649862e+01,8.724654e+01,8.849307e+01
LUTindex87,8.448923e+01,8.574462e+01,8.599569e+01,8.649785e+01,87,8.750215e+01,8.825538e+01,8.951075e+01
LUTindex88,8.546973e+01,8.673487e+01,8.698789e+01,8.749395e+01,88,8.850605e+01,8.926513e+01,9.053027e+01
LUTindex89,8.644784e+01,8.772392e+01,8.797914e+01,8.848957e+01,89,8.951043e+01,9.027608e+01,9.155216e+01
LUTindex90,8.742467e+01,8.871234e+01,8.896987e+01,8.948494e+01,90,9.051506e+01,9.128766e+01,9.257532e+01
LUTindex91,8.840067e+01,8.970034e+01,8.996027e+01,9.048013e+01,91,9.151987e+01,9.229966e+01,9.359933e+01
LUTindex92,8.937617e+01,9.068809e+01,9.095047e+01,9.147523e+01,92,9.252477e+01,9.331191e+01,9.462383e+01
LUTindex93,9.035152e+01,9.167576e+01,9.194061e+01,9.247030e+01,93,9.352970e+01,9.432424e+01,9.564848e+01
LUTindex94,9.132707e+01,9.266354e+01,9.293083e+01,9.346541e+01,94,9.453459e+01,9.533647e+01,9.667293e+01
LUTindex95,9.230316e+01,9.365158e+01,9.392126e+01,9.446063e+01,95,9.553937e+01,9.634842e+01,9.769685e+01
LUTindex96,9.328013e+01,9.464006e+01,9.491205e+01,9.545603e+01,96,9.654397e+01,9.735994e+01,9.871987e+01
LUTindex97,9.425815e+01,9.562907e+01,9.590326e+01,9.645163e+01,97,9.754837e+01,9.837093e+01,9.974185e+01
LUTindex98,9.523678e+01,9.661839e+01,9.689471e+01,9.744736e+01,98,9.855264e+01,9.938161e+01,1.007632e+02
LUTindex99,9.621591e+01,9.760795e+01,9.788636e+01,9.844318e+01,99,9.955682e+01,1.003920e+02,1.017841e+02
LUTindex100,9.719546e+01,9.859773e+01,9.887819e+01,9.943909e+01,100,1.005609e+02,1.014023e+02,1.028045e+02
LUTindex101,9.817538e+01,9.958769e+01,9.987015e+01,1.004351e+02,101,1.015649e+02,1.024123e+02,1.038246e+02
LUTindex102,9.915559e+01,1.005778e+02,1.008622e+02,1.014311e+02,102,1.025689e+02,1.034222e+02,1.048444e+02
LUTindex103,1.001360e+02,1.015680e+02,1.018544e+02,1.024272e+02,103,1.035728e+02,1.044320e+02,1.058640e+02
LUTindex104,1.011166e+02,1.025583e+02,1.028466e+02,1.034233e+02,104,1.045767e+02,1.054417e+02,1.068834e+02
LUTindex105,1.020973e+02,1.035486e+02,1.038389e+02,1.044195e+02,105,1.055805e+02,1.064514e+02,1.079027e+02
LUTindex106,1.030782e+02,1.045391e+02,1.048313e+02,1.054156e+02,106,1.065844e+02,1.074609e+02,1.089218e+02
